Data_No,Differential_pressure,Flow_rate,Time,Dust_feed,Dust,Dust_feed_group,Flow_group,max_time,RUL,pressure_rate,normalized_time,rolling_pressure_mean,pressure_ratio,rate_ratio_interaction
1,0.0,0.0,0.1,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,44.8,0.0,0.0022271714922049,0.0,0.0,0.0
1,0.0,0.0,0.2,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,44.7,0.0,0.0044543429844098,0.0,0.0,0.0
1,0.0,0.0,0.3,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,44.6,0.0,0.0066815144766146995,0.0,0.0,0.0
1,0.0,0.0,0.4,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,44.5,0.0,0.0089086859688196,0.0,0.0,0.0
1,0.0,0.0,0.5,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,44.4,0.0,0.011135857461024499,0.0,0.0,0.0
1,0.0,0.0,0.6,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,44.3,0.0,0.013363028953229399,0.0,0.0,0.0
1,0.0,0.0,0.7,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,44.2,0.0,0.015590200445434297,0.0,0.0,0.0
1,0.0,0.0,0.8,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,44.1,0.0,0.0178173719376392,0.0,0.0,0.0
1,0.0,0.0,0.9,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,44.0,0.0,0.0200445434298441,0.0,0.0,0.0
1,0.0,0.0,1.0,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,43.9,0.0,0.022271714922048998,0.0,0.0,0.0
1,0.0,0.0,1.1,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,43.8,0.0,0.0244988864142539,0.0,0.0,0.0
1,0.0,0.0,1.2,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,43.7,0.0,0.026726057906458798,0.0,0.0,0.0
1,0.0,0.0,1.3,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,43.6,0.0,0.0289532293986637,0.0,0.0,0.0
1,0.0,0.0,1.4,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,43.5,0.0,0.031180400890868595,0.0,0.0,0.0
1,0.0,0.0,1.5,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,43.4,0.0,0.0334075723830735,0.0,0.0,0.0
1,0.0,0.0,1.6,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,43.3,0.0,0.0356347438752784,0.0,0.0,0.0
